 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,IntDen,RawIntDen
64,pperpot_6K-2.tif:0064-0224,0.098326,26300.027304,14336,40960,3.302889,2.910063,3.304515,2.910812,1.159302,0.378783,0.330513,97.592298,2585.981436,15411816
65,pperpot_6K-2.tif:0065-0224,0.084064,23658.770459,13185,38838,5.973084,2.901536,5.973088,2.900051,1.0999,0.370663,0.288762,88.466915,1988.847501,11853044
66,pperpot_6K-2.tif:0066-0225,0.091111,22976.064457,14336,34043,7.623135,2.901706,7.623668,2.901348,1.171335,0.39059,0.297002,112.451705,2093.375119,12476003
67,pperpot_6K-2.tif:0067-0225,0.082889,23989.967611,10828,36673,9.208075,2.927325,9.206957,2.930014,1.0999,0.358051,0.294757,76.103276,1988.511917,11851044
68,pperpot_6K-2.tif:0068-0225,0.093125,23378.744144,11130,38203,9.745332,2.928637,9.745434,2.928404,1.159302,0.380305,0.311776,63.39432,2177.13695,12975203
69,pperpot_6K-2.tif:0069-0228,0.111078,24225.05136,12000,40252,10.846116,2.944329,10.845822,2.94437,1.298266,0.436933,0.323687,84.865347,2690.879706,16036984
70,pperpot_6K-2.tif:0070-0225,0.085574,25366.860784,9470,38228,4.385102,2.919659,4.385732,2.918659,1.086026,0.373043,0.292074,51.183543,2170.743399,12937099
71,pperpot_6K-2.tif:0071-0224,0.086077,24970.793372,13111,37550,4.93874,2.906613,4.938357,2.906127,1.093614,0.346549,0.316253,27.635844,2149.420039,12810017
72,pperpot_6K-2.tif:0072-0226,0.088762,23745.903592,13750,34029,5.442767,2.923429,5.442647,2.92525,1.174478,0.374133,0.302073,102.178001,2107.734769,12561583
73,pperpot_6K-2.tif:0073-0226,0.082386,23478.796334,9645,35740,6.529349,2.910004,6.528326,2.909123,1.116917,0.371911,0.282049,131.324269,1934.32261,11528089
74,pperpot_6K-2.tif:0074-0247,0.020974,15665.944,8759,24191,12.896102,3.208779,12.895923,3.208405,0.529409,0.165733,0.161132,130.615129,328.577764,1958243
75,pperpot_6K-2.tif:0075-0262,0.120139,25729.53352,13569,42790,11.390325,3.413942,11.388829,3.415822,1.327316,0.432384,0.353773,87.325574,3091.124677,18422346
76,pperpot_6K-2.tif:0076-0264,0.105709,24744.033333,12381,38365,10.840237,3.43682,10.840898,3.43906,1.257183,0.425326,0.316447,85.925149,2615.668058,15588741
77,pperpot_6K-2.tif:0077-0265,0.101011,26492.096346,13249,47987,4.36863,3.449859,4.368329,3.448561,1.238864,0.41066,0.313182,96.179661,2675.989497,15948242
78,pperpot_6K-2.tif:0078-0264,0.093796,24789.488372,13479,35927,4.899223,3.429759,4.900192,3.429107,1.19594,0.42706,0.279643,80.146897,2325.149912,13857324
79,pperpot_6K-2.tif:0079-0261,0.074164,19667.18552,10240,31224,11.96888,3.380531,11.967406,3.380239,1.06196,0.330084,0.286074,126.520366,1458.599537,8692896
80,pperpot_6K-2.tif:0080-0266,0.100675,23708.736667,12288,35156,5.43389,3.445923,5.433071,3.444852,1.24515,0.405802,0.315878,91.072344,2386.883657,14225242
81,pperpot_6K-2.tif:0081-0264,0.088091,22274.318095,10306,32489,8.164517,3.438552,8.165155,3.438792,1.13784,0.396009,0.283228,93.396656,1962.164022,11694017
82,pperpot_6K-2.tif:0082-0264,0.084903,23334.34585,12288,35788,6.513773,3.425576,6.513229,3.424567,1.0999,0.360869,0.299559,65.36893,1981.151715,11807179
83,pperpot_6K-2.tif:0083-0265,0.08893,22512.911321,10266,34816,7.614264,3.442908,7.613349,3.442464,1.12895,0.375886,0.301232,84.946067,2002.069353,11931843
84,pperpot_6K-2.tif:0084-0265,0.09044,23327.320965,12220,37038,8.710313,3.448829,8.710711,3.449644,1.154857,0.382835,0.300787,65.271056,2109.721932,12573426
85,pperpot_6K-2.tif:0085-0264,0.09497,24174.722615,13136,36864,9.255545,3.436535,9.257367,3.437453,1.173176,0.367549,0.32899,77.218078,2295.881763,13682893
86,pperpot_6K-2.tif:0086-0265,0.099669,26900.580808,17117,40888,2.745327,3.440801,2.7471,3.440291,1.197781,0.369515,0.343428,16.523959,2681.141219,15978945
87,pperpot_6K-2.tif:0087-0266,0.097152,25761.711572,13397,42596,3.801796,3.45382,3.803304,3.453136,1.162445,0.381093,0.324585,92.464067,2502.792615,14916031
88,pperpot_6K-2.tif:0088-0265,0.084399,23521.932406,11572,34443,10.301439,3.441307,10.301675,3.440487,1.096757,0.358858,0.299452,94.57864,1985.237957,11831532
89,pperpot_6K-2.tif:0089-0269,0.12618,23468.835106,7380,35512,1.730631,3.468565,1.73405,3.472851,1.382273,0.407245,0.394497,60.759936,2961.290147,17648564
90,pperpot_6K-2.tif:0090-0266,0.115441,26954.747093,13149,40214,2.193277,3.436866,2.195955,3.437504,1.35008,0.454642,0.323296,166.184948,3111.682569,18544866
91,pperpot_6K-2.tif:0091-0266,0.09044,26299.615955,16511,38746,3.273344,3.450439,3.27289,3.449141,1.139681,0.360486,0.319434,66.45823,2378.536166,14175493
92,pperpot_6K-2.tif:0092-0267,0.093292,23357.273381,12484,37830,5.99638,3.44124,5.996973,3.441582,1.192797,0.39784,0.298571,93.065835,2179.05666,12986644
93,pperpot_6K-2.tif:0093-0265,0.088594,22703.17803,12288,33637,7.056152,3.438923,7.055302,3.438457,1.118219,0.341931,0.329896,160.517076,2011.37091,11987278
94,pperpot_6K-2.tif:0094-0269,0.101346,23858.27649,13611,33754,9.761097,3.462584,9.760458,3.461658,1.275502,0.394958,0.326714,98.861186,2417.951544,14410399
95,pperpot_6K-2.tif:0095-0304,0.150677,26387.150334,15529,43420,1.672569,3.961393,1.679172,3.964074,1.492186,0.44896,0.427317,93.417797,3975.945434,23695661
96,pperpot_6K-2.tif:0096-0304,0.114099,21481.495588,11910,36855,11.957472,3.939985,11.955283,3.945386,1.338047,0.450354,0.322579,77.047981,2451.009614,14607417
97,pperpot_6K-2.tif:0097-0304,0.09648,23487.558261,10576,36864,9.754462,3.966564,9.755141,3.967642,1.295123,0.436182,0.281632,79.339224,2266.090774,13505346
